شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224798,7863,7138500000,46953150,2498,879000,481,411206000,468000,477,24670000,574500,6047,44709603153,18281500,7586,59303669232,24952,67156150
385869,11839,11445900000,90314200,2539,1135000,320,153979000,423000,903,31100000,1260000,4244,24953815956,13175000,5093,31644035219,24938,106307200
386256,9815,7709410000,59498725,3495,1645500,234,106924000,316500,1071,31550000,1507500,4750,27133626802,14479000,5570,36631511559,24935,77447225
384804,9152,5770050000,48052200,3134,1542500,537,254737000,786000,1760,62500000,2617500,4746,19059233347,14362500,5598,27065950496,24927,67360700
207974,8241,6779500000,43961575,2977,970500,596,330965000,633000,761,36170000,960000,5084,41324290110,14968500,7187,64933831816,24846,61493575
222138,6694,6467550000,43219950,2793,1014500,545,376134000,574500,672,40110000,742500,6278,48989358605,18938500,7842,63378721568,24824,64489950
222158,9374,7028450000,47998650,3265,1144500,526,235239000,631500,1097,33230000,1444500,4264,33240215522,12859500,6288,49871175212,24814,64078650
217732,7465,7139700000,41409450,2951,830500,976,478776000,933000,513,22480000,514500,5399,43285279860,15672000,7444,55388437386,24748,59359450
385744,7072,5305260000,44538640,3617,1788000,157,62612000,228000,1733,56240000,2554500,5618,28571589891,16998500,6523,40225898328,24720,66107640
384816,7611,4944830000,41816515,3861,1904500,272,128706000,405000,2345,67040000,3493500,4904,19857557298,14766500,5722,28792809006,24715,62386015
228622,7883,6445500000,42046525,2254,769000,413,428736000,421500,528,27360000,601500,6004,45168732599,17875000,7627,60944785996,24709,61713525
298608,8350,5219650000,40151365,3097,1385000,507,274239000,667500,1346,42860000,1824000,5111,28242410645,15617500,6275,38887131684,24686,59645365
315589,8816,7076000000,58252795,3823,1879500,286,105676000,414000,1309,35130000,1927500,4744,29009718580,14439500,5651,41562136042,24629,76913295
346318,7848,9066600000,58040975,2464,828000,776,380762000,828000,393,23200000,423000,5864,45350225947,17657500,7280,56289668963,24625,77777475
386032,10545,7107850000,59614750,3974,1959500,344,91316000,504000,1961,54320000,2923500,3541,13690369176,10658500,4233,21046641985,24598,75660250
272676,8706,6753650000,46067025,2712,960000,456,295708000,450000,653,31140000,757500,5270,39271565768,15887000,6783,52521256011,24580,64121525
369619,10139,6743670000,54987265,3622,1765000,326,150256000,465000,2026,51010000,2964000,3827,22280326221,11612000,4517,31844271284,24457,71793265
386404,7854,6240200000,44837500,3188,1188500,495,375846000,564000,974,37960000,1180500,4990,30705546514,15300000,6946,43213983526,24447,63070500
224722,8671,6577340000,51196180,2954,1367000,350,221893000,478500,980,42180000,1381500,5304,28689261733,16195000,6161,36213974175,24420,70618180
315583,8629,6024720000,48571890,3217,1540000,435,217433000,621000,1208,38620000,1732500,4930,24334035585,15000500,5963,33990851096,24382,67465890
386459,7990,5338780000,43216380,3633,1728500,398,142540000,564000,1250,41200000,1798500,5058,22636375796,15419000,6050,31658210066,24379,62726380
386066,10111,6276740000,53013140,3659,1815500,168,59417000,250500,1135,38110000,1686000,4283,21844582151,12949500,5021,34717484381,24377,69714640
384813,10017,6543000000,55103800,4126,2045000,323,121438000,483000,1941,51250000,2899500,3620,16480387821,10907500,4286,23943303656,24313,71438800
224466,9240,6003490000,47342280,3603,1700000,365,124311000,519000,2178,63020000,3082500,4104,20238904911,12553000,4801,26924483292,24291,65196780
385336,10561,8265790000,69302625,3872,1920000,652,223200000,957000,1826,54340000,2710500,3334,17632011456,10078500,4030,24889627113,24275,84968625
384673,8011,7315930000,57261780,3300,1512500,449,322477000,580500,971,43250000,1345500,5218,30927226780,15854000,6221,41544207548,24170,76554280
386213,8869,5615780000,47474880,4005,1992000,241,65414000,361500,1299,39370000,1944000,4438,22846994573,13412000,5317,37404606979,24169,65184380
276946,6392,7425610000,45016085,2292,815000,764,1807352000,703500,764,39040000,853500,6324,51316353428,18602500,7612,62751644667,24148,65990585
385510,9768,6506670000,54690445,3229,1593000,171,75506000,246000,1493,48500000,2190000,4276,21003523213,12957500,5143,31901840909,24080,71676945
385743,9411,6764580000,56939035,3248,1607000,522,199230000,774000,1498,48330000,2206500,4265,20652033733,12910000,5127,29091571833,24071,74436535
216537,8061,7613300000,54311175,2647,992000,352,256378000,420000,1341,59720000,1714500,5135,34772734224,15710500,6490,47595867532,24026,73148175
312675,8671,6152050000,50048000,3267,1539000,349,173971000,499500,1394,52240000,2005500,4747,20415353702,14353000,5552,27513638621,23980,68445000
386345,8947,6041280000,51089675,3478,1726000,263,55959000,385500,1261,39840000,1875000,4550,22592148660,13750000,5467,35754392182,23966,68826175
385343,10275,5929110000,50022160,3875,1928500,403,99143000,601500,1376,42110000,2049000,3681,16402519443,11114000,4354,25179270830,23964,65715160
224737,8772,6814290000,54002285,2903,1362000,358,293278000,481500,1245,46720000,1782000,4897,25974392193,14958000,5632,32124427808,23807,72585785
224420,8708,6378450000,51101575,2758,1307000,259,135658000,358500,962,33510000,1377000,5013,30995412978,15278500,6076,47737230018,23776,69422575
344748,5977,7242950000,44430350,2232,796500,1244,1742929000,1471500,424,29470000,390000,6355,52729997858,19062500,7530,66134619460,23762,66150850
386247,9091,7554300000,61215300,3383,1621500,355,127371000,508500,1093,36700000,1575000,4488,25925833071,13713500,5330,36139553945,23740,78633800
218352,8230,8056300000,54851775,2621,951500,711,530560000,670500,475,25580000,564000,5176,37876879577,15536000,6440,48047174514,23653,72573775
384721,7402,6222810000,45284515,2186,936500,351,244511000,466500,847,38720000,1117500,5968,37807488146,18106000,6783,46060673387,23537,65911015
218351,7962,6910800000,46205575,2482,891000,336,471370000,327000,653,28600000,756000,5271,40897555880,15706000,6829,53637553685,23533,63885575
386307,7261,6021280000,49095320,3235,1555000,476,346429000,682500,1069,40670000,1554000,5304,27079983639,16140500,6179,36868486358,23524,69027320
385775,9276,7395120000,59734175,3913,1877500,259,100508000,366000,1570,42270000,2268000,3868,19025816833,11779500,4577,27960601111,23463,76025175
272675,7509,6016700000,40549250,2575,906000,625,411380000,640500,472,23240000,529500,5310,37757368476,15936000,6955,50102325863,23446,58561250
305870,8499,5580450000,46572775,3299,1604500,1013,596039000,1500000,1640,53390000,2418000,4131,16754264849,12524500,4842,24479215334,23424,64619775
386252,7413,5972900000,49284700,4594,2245000,262,82755000,375000,1681,46940000,2476500,4326,17878253608,13162000,5116,26457442415,23392,67543200
385803,8622,6511820000,54810720,3168,1569500,414,111029000,616500,778,25640000,1152000,4610,22016475522,13948000,5794,34276278638,23386,72096720
326218,6085,5538000000,35073125,2107,739000,628,633254000,616500,495,24650000,504000,6217,49024376681,18369000,7831,63601049634,23363,55301625
216651,7930,8681550000,55607850,2504,921500,588,625113000,496500,464,26710000,528000,5358,45797004081,16204500,6492,56824498171,23336,73758350
384322,8667,6547750000,45388725,3101,1082500,431,195375000,523500,1019,33980000,1344000,4018,31199298124,12157000,6013,45780190616,23249,60495725
267683,6620,7277150000,45593150,2322,820500,759,991805000,709500,408,24590000,429000,5955,44810243505,17721000,7163,55135319918,23227,65273150
386086,9110,6574360000,52604035,3092,1484000,341,111498000,480000,1180,37800000,1684500,4345,25749392394,13258000,5158,36545092012,23226,69510535
224505,9804,6724950000,44041050,2060,666000,248,203473000,249000,588,29310000,741000,4535,34303455924,13318500,5967,44186789589,23202,59015550
385949,9266,7237380000,52907145,2332,1027000,364,208685000,445500,614,28350000,823500,4875,29305548834,14848000,5718,38259577894,23169,70051145
386062,8447,5854940000,49502640,3289,1638500,232,53559000,348000,1140,38410000,1708500,4547,21963070936,13771500,5477,32128606736,23132,66969140
351044,7504,6030200000,42820875,2929,1093000,594,533182000,663000,817,30700000,1021500,4735,29710551391,14500000,6530,42766425941,23109,60098375
220931,5683,5990600000,32285125,2318,606500,488,624571000,390000,324,20410000,310500,6015,60923933659,17387000,8266,83778356289,23094,50979125
216627,7866,7930430000,50819885,2340,812000,500,456010000,453000,518,28120000,612000,5213,43340730182,15214000,6535,54596621939,22972,67910885
386186,7643,5856700000,49532475,3706,1844000,238,97810000,357000,1518,44940000,2268000,4525,21873353926,13627000,5323,31539048648,22953,67628475
315578,6714,5533310000,43507420,2720,1249000,403,184702000,562500,803,35190000,1113000,5628,29379747054,17167000,6655,39936512010,22923,63598920
