شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224430,3900,3242350000,21483325,1872,663500,162,364957000,156000,468,16570000,562500,2175,14663164986,6652500,3104,22702387358,11681,29517825
215505,5027,3434890000,25188475,1990,744000,494,331448000,585000,617,24130000,787500,2450,16093906508,7732000,3650,23697092940,14228,35036975
215508,1566,1111180000,7247610,958,266500,138,118250000,181500,267,9940000,336000,1068,8488387738,3317500,1811,12169712362,5808,11349110
224478,2251,1839350000,11229350,679,181000,83,24167000,90000,225,8880000,268500,947,7341827845,2981000,1398,9985928385,5583,14749850
275148,2060,1633990000,11634120,828,285000,269,102454000,262500,290,13620000,385500,1327,10105830410,4151000,1896,13384072538,6670,16718120
366258,1491,1204500000,7532020,970,267500,197,60292000,127500,323,10180000,273000,1356,8773651242,4185500,2054,11885800625,6391,12385520
384822,519,522120000,3769665,462,165000,33,13269000,34500,188,7680000,216000,400,1875218936,1205500,554,2420041236,2156,5390665
384823,641,473440000,3620150,394,156500,25,8732000,31500,116,4290000,144000,384,2362982470,1180000,515,2967040110,2075,5132150
384691,254,302250000,2172175,390,142000,27,10995000,15000,90,3330000,109500,321,1780900128,961000,522,2299910329,1604,3399675
385476,558,344740000,2680815,310,126000,21,8787000,21000,102,3660000,126000,267,1150732722,805000,341,1247204722,1599,3758815
224470,5517,4809200000,33776875,2395,898500,249,143487000,262500,703,23590000,925500,2205,13467964488,6724000,3248,18937219389,14317,42587375
224471,4945,4523750000,31254925,2292,822000,247,190971000,259500,701,26020000,895500,2467,15684834845,7655500,3583,20916581244,14235,40887425
