شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224847,2901,2615750000,17088400,1348,379000,523,305331000,646500,293,10000000,373500,2074,15880891240,6373500,3251,26763460044,10390,24860900
386481,3830,3083550000,24765175,1198,558500,152,99516000,210000,473,16940000,655500,2128,12479535516,6513500,2607,17185095183,10388,32702675
386491,4240,3085850000,24451950,1535,714000,123,61417000,174000,455,16700000,637500,1776,9392908722,5406000,2234,13357675171,10363,31383450
386447,3612,2443550000,18288600,1293,587500,125,77722000,181500,568,23640000,775500,2228,13726171307,6784500,2536,16807212083,10362,26617600
385867,3329,2321440000,19199970,1341,653500,39,24657000,58500,812,28200000,1189500,2159,9394372683,6555000,2562,15712392462,10242,27656470
386295,3286,2612100000,20843275,1321,605500,260,113055000,318000,520,18530000,739500,2228,13312779367,6852000,2602,17104026176,10217,29358275
224967,3497,2551290000,18881900,1182,426500,222,195324000,267000,607,24490000,825000,1959,12164398924,6054000,2746,16768402723,10213,26454400
292122,3932,2276990000,18257745,1536,728500,145,65770000,183000,720,21950000,1032000,1789,8851557312,5484000,2087,12976493950,10209,25685245
386393,3993,3467510000,28849510,1531,750000,94,25359000,138000,453,12910000,658500,1894,10712941033,5776000,2227,15957020439,10192,36172010
383231,3862,3075900000,22347435,2123,689500,119,54833000,147000,614,23890000,685500,1499,9232046179,4724000,1941,12720872910,10158,28593435
386334,7465,3125900000,25944125,979,475500,59,305426000,78000,494,15170000,729000,512,1686158776,1550500,620,2223781976,10129,28777125
386250,3955,2635570000,22312670,1738,863500,293,72857000,438000,557,19040000,828000,1620,6732695021,4893500,1932,8910472104,10095,29335670
386303,5975,4645950000,38270400,1115,541000,21,8953000,28500,718,27620000,1036500,1011,4340597178,3067500,1209,6239450577,10049,42943900
386534,3931,2500280000,20894530,1354,662000,168,98041000,246000,601,19220000,892500,1833,8979087115,5530000,2157,11858669203,10044,28225030
225146,4219,2586700000,18856825,1475,536500,111,59409000,145500,607,17460000,835500,1311,9331691567,4162000,2277,14013767691,10000,24536325
386357,4058,3319100000,27958795,1407,695500,337,128476000,501000,680,25760000,1005000,1617,8848796973,4887000,1900,13115099133,9999,35047295
386518,3597,3605650000,28672285,1155,532500,257,135425000,352500,392,21400000,547500,2143,14639626658,6529500,2442,18281305698,9986,36634285
